City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
125,New Norfolk,-42.7826,147.0587,77.67,33,100,5.84,AU,overcast clouds
126,High Level,58.5169,-117.136,33.91,100,90,5.75,CA,light rain and snow
127,Jamestown,42.097,-79.2353,36.72,89,1,1.01,US,clear sky
128,Libres,19.4667,-97.6833,49.53,82,61,5.17,MX,broken clouds
129,Hovd,48.0056,91.6419,16.81,23,40,1.28,MN,scattered clouds
130,Tasiilaq,65.6145,-37.6368,15.15,82,99,7.16,GL,overcast clouds
131,Serowe,-22.3833,26.7167,73.44,50,81,10.49,BW,broken clouds
132,Faanui,-16.4833,-151.75,79.03,75,75,6.62,PF,moderate rain
133,Torbay,47.6666,-52.7314,33.58,96,90,9.22,CA,light rain
134,Cape Town,-33.9258,18.4232,56.12,81,40,5.75,ZA,scattered clouds
135,Bara,10.3744,10.7288,74.21,26,24,4.14,NG,few clouds
136,Cedar City,37.6775,-113.0619,56.39,32,1,5.75,US,clear sky
137,Kajiado,-1.8524,36.7768,59.72,92,33,6.11,KE,scattered clouds
138,Tofield,53.3668,-112.6686,42.82,73,90,5.5,CA,overcast clouds
139,Kununurra,-15.7667,128.7333,96.78,41,82,5.75,AU,broken clouds
140,Adolfo Ruiz Cortines,25.75,-108.75,74.03,51,91,5.73,MX,overcast clouds
141,Kashi,39.4547,75.9797,34.81,37,90,11.18,CN,dust
142,Ukiah,39.1502,-123.2078,55.44,88,40,4.61,US,scattered clouds
143,Palaia Fokaia,37.72,23.9463,66.52,76,100,5.1,GR,overcast clouds
144,Mwingi,-0.9344,38.0601,64.83,90,11,3.27,KE,few clouds
145,Hailar,49.2,119.7,16.09,28,0,12.77,CN,clear sky
146,Coos Bay,43.3665,-124.2179,53.15,97,40,9.22,US,scattered clouds
147,Narovchat,53.8765,43.6946,47.08,81,100,20.36,RU,overcast clouds
148,Vao,-22.6667,167.4833,69.01,61,100,10.07,NC,overcast clouds
149,Springbok,-29.6643,17.8865,49.8,67,83,2.17,ZA,broken clouds
150,Wagar,16.1525,36.2032,77.63,53,3,7.16,SD,clear sky
151,Agirish,61.9247,63.0231,33.4,96,100,11.41,RU,light snow
152,Dubbo,-32.25,148.6167,80.73,41,75,9.22,AU,light rain
153,Saint-Philippe,-21.3585,55.7679,79.48,73,0,6.06,RE,clear sky
154,Hobyo,5.3505,48.5268,79.63,74,2,5.68,SO,clear sky
155,Bitung,1.4451,125.1824,90.45,70,69,5.97,ID,broken clouds
156,Ribeira Grande,38.5167,-28.7,69.49,92,100,24.52,PT,overcast clouds
157,Port Blair,11.6667,92.75,83.32,73,80,7.76,IN,moderate rain
158,Jalu,29.0331,21.5482,68.99,42,0,5.68,LY,clear sky
159,Montemor-O-Novo,38.6481,-8.2145,44.01,70,0,8.86,PT,clear sky
160,Nikolskoye,59.7035,30.7861,43.88,82,100,10.11,RU,overcast clouds
161,Cherskiy,68.75,161.3,1.02,89,81,9.44,RU,broken clouds
162,Acapulco,16.8634,-99.8901,82.22,78,90,8.05,MX,overcast clouds
163,Duldurga,50.6761,113.5931,18.63,38,2,13.44,RU,clear sky
164,Barrow,71.2906,-156.7887,26.62,80,90,31.07,US,overcast clouds
165,Sainte-Suzanne,-20.9061,55.6089,80.11,72,0,3.44,RE,clear sky
166,Castro,-24.7911,-50.0119,62.29,91,94,1.95,BR,overcast clouds
167,Broken Hill,-31.95,141.4333,89.31,18,40,14.97,AU,scattered clouds
168,Rio Gallegos,-51.6226,-69.2181,53.65,50,40,3.44,AR,scattered clouds
169,Tuatapere,-46.1333,167.6833,67.82,47,84,4.7,NZ,broken clouds
170,Port Elizabeth,-33.918,25.5701,61.03,80,100,7.56,ZA,overcast clouds
171,Viedma,-40.8135,-62.9967,51.78,66,2,7.36,AR,clear sky
172,Chizhou,30.6578,117.4831,69.08,75,93,7.45,CN,overcast clouds
173,Haines Junction,60.7522,-137.5108,22.95,93,100,1.14,CA,overcast clouds
174,Xiongyue,40.1774,122.1228,57.87,63,0,14.2,CN,clear sky
